"ean","brand","nome","ivazero","price","desconto","pvp_recomendado","promocao","preco_por_volume","category","embalagem","link_produto","link_imagem","id","variant","channel"
3600523587315,"Elvive LOréal Paris","Máscara Cabelo Elvive Reconstrutora Dream Long",FALSE,4.19,"40",NA,NA,"€13,97","Beleza e Higiene/Cabelo/Máscaras e Tratamentos","emb. 300 ml","https://www.continente.pt/produto/mascara-cabelo-elvive-reconstrutora-dream-long-elvive-loreal-paris-6421142.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw3e533733/images/col/642/6421142-frente.jpg?sw=280&sh=280","6421142","","col"
3600541575790,"Ultra Suave Garnier","Condicionador Ultra Suave Óleos de Argão e Camélia",FALSE,5.59,NA,NA,NA,"€13,98","Beleza e Higiene/Cabelo/Condicionadores","emb. 400 ml","https://www.continente.pt/produto/condicionador-ultra-suave-oleos-de-argao-e-camelia-ultra-suave-garnier-5365191.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwe54d71c9/images/col/536/5365191-hero.jpg?sw=280&sh=280","5365191","","col"
3282770141436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5601312605133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5601312602217,"MyLabel","Condicionador Profissional Hidratação Intensa",FALSE,1.99,NA,NA,NA,"€2,21","Beleza e Higiene/Cabelo/Condicionadores","emb. 900 ml","https://www.continente.pt/produto/condicionador-profissional-hidratacao-intensa-mylabel-6855958.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw333be2b4/images/col/685/6855958-frente.jpg?sw=280&sh=280","6855958","","col"
5600954004595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3468080408494,"Corine de Farme","Gel Higiene Íntima Suave",FALSE,7.49,NA,NA,NA,"€18,73","Beleza e Higiene/Higiene Íntima/Gel e Sabonetes Íntimos","emb. 400 ml","https://www.continente.pt/produto/gel-higiene-intima-suave-corine-de-farme-6737977.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw2b426166/images/col/673/6737977-frente.jpg?sw=280&sh=280","6737977","","col"
3468080408258,"Corine de Farme","Gel Higiene Íntima Suave",FALSE,3.44,"35",NA,NA,"€13,76","Beleza e Higiene/Higiene Íntima/Gel e Sabonetes Íntimos","emb. 250 ml","https://www.continente.pt/produto/gel-higiene-intima-suave-corine-de-farme-6640649.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwe20e7f69/images/col/664/6640649-frente.jpg?sw=280&sh=280","6640649","","col"
8712561655361,"Dove","Gel de Banho Romã e Aroma de Limão Verbena",FALSE,7.99,NA,NA,NA,"€10,65","Beleza e Higiene/Corpo/Gel de Banho/Gel de Banho Hidratação","emb. 750 ml","https://www.continente.pt/produto/gel-de-banho-roma-e-aroma-de-limao-verbena-dove-5588722.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwf18a0945/images/col/558/5588722-hero.jpg?sw=280&sh=280","5588722","","col"
5601312606222,"Continente","Gel de Banho Hidratante Pack Poupança",FALSE,2.39,NA,NA,NA,"€1,59","Beleza e Higiene/Corpo/Gel de Banho/Gel de Banho Hidratação","emb. 1,5 lt","https://www.continente.pt/produto/gel-de-banho-hidratante-pack-poupanca-continente-7371653.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw0995306b/images/col/737/7371653-hero.jpg?sw=280&sh=280","7371653","","col"
8710847929083,"Dove","Gel de Banho Aloe Vera & Birch Water",FALSE,5.39,"40",NA,NA,"€7,19","Beleza e Higiene/Corpo/Gel de Banho/Gel de Banho Hidratação","emb. 750 ml","https://www.continente.pt/produto/gel-de-banho-aloe-vera-birch-water-dove-7159339.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwe6d55ba1/images/col/715/7159339-hero.jpg?sw=280&sh=280","7159339","","col"
5601312603542,"","Gel de Banho Aveia",FALSE,0.99,NA,NA,NA,"€0,99","Beleza e Higiene/Corpo/Gel de Banho/Gel de Banho Fragrância","emb. 1 lt","https://www.continente.pt/produto/gel-de-banho-aveia-7028770.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw029c198a/images/col/702/7028770-hero.jpg?sw=280&sh=280","7028770","","col"
5601312605539,"Continente","Gel de Banho Hidratante",FALSE,1.99,NA,NA,NA,"€1,99","Beleza e Higiene/Corpo/Gel de Banho/Gel de Banho Hidratação","emb. 1 lt","https://www.continente.pt/produto/gel-de-banho-hidratante-continente-7302890.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwa6543d23/images/col/730/7302890-hero.jpg?sw=280&sh=280","7302890","","col"
4005900555915,"Nivea","Gel de Banho Care & Coconut",FALSE,3.82,"55",NA,NA,"€5,09","Beleza e Higiene/Corpo/Gel de Banho/Gel de Banho Hidratação","emb. 750 ml","https://www.continente.pt/produto/gel-de-banho-care-coconut-nivea-6654452.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw9bab79f4/images/col/665/6654452-hero.jpg?sw=280&sh=280","6654452","","col"
5601312608530,"Continente","Gel de Banho Frutos Vermelhos",FALSE,1.99,NA,NA,NA,"€1,99 ","Beleza e Higiene/Corpo/Gel de Banho","emb. 1 lt","https://www.continente.pt/produto/gel-de-banho-frutos-vermelhos-continente-7565987.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwdef5ecec/images/col/756/7565987-frente.jpg?sw=280&sh=280","7565987","","col"
8720181222634,"Dove","Gel de Banho Care by Nature Óleo de Coco",FALSE,2.99,"40",NA,NA,"€7,48","Beleza e Higiene/Corpo/Gel de Banho","emb. 400 ml","https://www.continente.pt/produto/gel-de-banho-care-by-nature-oleo-de-coco-dove-7612929.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwa47825d8/images/col/761/7612929-hero.jpg?sw=280&sh=280","7612929","","col"
8008970056418,"Natural Honey","Gel de Banho Hidratante",FALSE,5.39,"50",NA,NA,"€3,99","Beleza e Higiene/Corpo/Gel de Banho","emb. 1,35 lt","https://www.continente.pt/produto/gel-de-banho-hidratante-natural-honey-7683202.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw071f4192/images/col/768/7683202-frente.jpg?sw=280&sh=280","7683202","","col"
